aar,knr,aarknr,kommunenavn,bm_andel_forrige_valg,bm_andel_dette_valg,d_borgmesterparti,d_udvalgsformandsparti,d_valgdeltagelse,skolelukning,antal_skolelukning,borgmesterparti,udvalgsformandsparti,delt_inst_ansvar,delt_pol_ansvar,koalition,afstand_valg,aftale_borgmester,aftale_udvalgsformand,besluttet_aar,skoleluk_aar_i_valgperiode,ny_borgmester,sammenlagt_kommune,valgvind_bm,est_ft_bm,valgvind_uf,est_ft_uf,friskole_antal,friskole,d_nettodriftsudgifter,dt0_nettodriftsudgifter,koalition_kat
2013,575,2013575,Vejen,0.402959054,0.43376263,0.030803576,0.030803576,0.052219758,1,5,V,V,0,1,0.703703704,1015,1,1,2011,2,0,1,5.7833e-4,0.361757576,5.7833e-4,0.361757576,1,1,5473,6245,2
2013,580,2013580,Aabenraa,0.436654688,0.259015789,-0.177638899,-0.034593021,0.046897183,1,3,A,F,1,1,0.892473118,1039.666667,1,1,2011,2,0,1,-0.026722078,0.205150685,-0.086011765,0.032208955,1,1,3659,5909,4
2013,607,2013607,Fredericia,0.268819273,0.236122942,-0.032696332,-0.032696332,0.050089067,1,2,V,V,0,1,0.523809524,609,1,1,2012,3,1,0,-0.007257935,0.243004329,-0.007257935,0.243004329,0,0,3961,9436,1
2013,615,2013615,Horsens,0.38782366,0.407860489,0.020036829,0.020036829,0.081762499,1,1,A,A,0,1,0.814814815,1028,1,1,2011,2,1,1,-0.028070808,0.231452055,-0.028070808,0.231452055,0,0,4069,8470,3
2013,621,2013621,Kolding,0.34551589,0.435391264,0.089875373,-0.013397897,0.038432881,1,1,V,O,1,1,1,1044,1,1,2011,2,1,1,0.00400749,0.292484848,0.048408008,0.208904192,1,1,4831,6791,4
2013,630,2013630,Vejle,0.319224154,0.336589364,0.01736521,0.015672515,0.053394983,0,0,V,A,1,NA,NA,NA,NA,NA,NA,0,1,1,-0.008805023,0.27874026,-0.010451483,0.198136986,NA,NA,1528,3178,0
2013,657,2013657,Herning,0.617809626,0.577368972,-0.040440654,-0.040440654,0.04165618,1,2,V,V,0,1,0.612903226,1246,1,1,2010,1,0,1,0.005195222,0.385948052,0.005195222,0.385948052,0,0,3605,6448,1
2013,661,2013661,Holstebro,0.284544809,0.443783532,0.159238723,0.159238723,0.030476597,1,5,A,A,0,1,0.948148148,782.6,1,1,2012,3,1,1,-0.001232931,0.234520548,-0.001232931,0.234520548,2,1,4039,6125,4
2013,665,2013665,Lemvig,0.386350772,0.487020719,0.100669947,-0.032425445,0.025951532,1,2,V,C,1,1,0.785714286,828.5,1,1,2011,2,0,1,0.014209785,0.344164502,-0.020473659,0.044036145,0,0,4266,6963,3
2013,671,2013671,Struer,0.360193267,0.335876698,-0.024316569,-0.024316569,0.033790104,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,1,-0.011115118,0.249863014,-0.011115118,0.249863014,NA,NA,7538,9120,0
2013,706,2013706,Syddjurs,0.226498541,0.180311485,-0.046187056,-0.014,0.069429126,0,0,F,L,1,NA,NA,NA,NA,NA,NA,0,1,1,-0.109240352,0.056268657,NA,NA,NA,NA,5459,6138,0
2013,707,2013707,Norddjurs,0.383625076,0.395993544,0.012368468,-0.065817724,0.041995452,0,0,A,F,1,NA,NA,NA,NA,NA,NA,0,1,1,-0.028162423,0.268712329,-0.097081216,0.041522388,NA,NA,3426,7995,0
2013,710,2013710,Favrskov,0.361908802,0.428784545,0.066875743,-0.06229432,0.075256612,1,2,A,F,1,1,0.851851852,756,1,1,2011,2,1,1,-0.01747455,0.236712329,-0.093043835,0.042298507,2,1,3117,5755,3
2013,727,2013727,Odder,0.249066848,0.23368166,-0.015385188,-0.015385188,0.065335478,1,2,A,A,0,1,0.526315789,1100,1,1,2010,1,0,0,-0.018531659,0.251178082,-0.018531659,0.251178082,2,1,4409,5294,1
2013,730,2013730,Randers,0.382331797,0.313757738,-0.068574059,0.033,0.076040667,0,0,A,L,1,NA,NA,NA,NA,NA,NA,0,0,1,-0.037448297,0.287561644,NA,NA,NA,NA,2363,7072,0
2013,740,2013740,Silkeborg,0.287307204,0.250171713,-0.037135491,-0.037135491,0.077303533,1,1,A,A,0,1,0.774193548,1093,1,1,2010,1,1,1,-0.024383562,0.219616438,-0.024383562,0.219616438,0,0,1655,4174,3
2013,741,2013741,Samsø,0.196547666,0.148191824,-0.048355842,0.011260119,0.032347535,0,0,C,V,1,NA,NA,NA,NA,NA,NA,0,1,0,-0.043080321,0.050253012,0.005485526,0.271593074,NA,NA,8476,12565,0
2013,746,2013746,Skanderborg,0.348214898,0.373130728,0.024915831,0.024915831,0.076084552,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,1,1,-0.017883929,0.231452055,-0.017883929,0.231452055,NA,NA,2685,5044,0
2013,751,2013751,Aarhus,0.412607543,0.382217481,-0.030390062,-0.030390062,0.06841405,1,2,A,A,0,1,0.612903226,335,1,1,2012,3,1,0,-0.02922792,0.233205479,-0.02922792,0.233205479,0,0,1871,5376,1
2013,756,2013756,Ikast-Brande,0.249359243,0.361989172,0.112629929,-0.010433552,0.039051447,0,0,V,A,1,NA,NA,NA,NA,NA,NA,0,0,1,0.015742775,0.363406926,-0.012427354,0.189369863,NA,NA,3960,3771,0
2013,760,2013760,Ringkøbing-Skjern,0.524543081,0.4487121,-0.07583098,-0.07583098,0.057027053,0,0,V,V,0,NA,NA,NA,NA,NA,NA,0,1,1,0.031956253,0.417835498,0.031956253,0.417835498,NA,NA,6284,7671,0
2013,766,2013766,Hedensted,0.437885609,0.435743897,-0.002141713,-0.002141713,0.050088738,0,0,V,V,0,NA,NA,NA,NA,NA,NA,0,1,1,-0.02018239,0.338666667,-0.02018239,0.338666667,NA,NA,3299,5108,0
2013,773,2013773,Morsø,0.34416211,0.286842905,-0.057319205,NA,0.061149469,1,2,A,,1,1,0.523809524,659,1,1,2012,3,1,0,-0.006927858,0.301589041,NA,NA,1,1,6524,9495,1
2013,779,2013779,Skive,0.373965803,0.375802016,0.001836214,-0.085216034,0.010760635,1,3,V,A,1,1,0.903225806,85,1,1,2013,4,0,1,0.00989144,0.318874459,-0.016695988,0.261260274,1,1,4520,8205,4
2013,787,2013787,Thisted,0.288331849,0.33653921,0.048207362,-0.050511060000000003,0.06678569,1,4,V,F,1,1,0.842592593,1084,1,1,2010,1,1,1,0.033732239,0.325471861,-0.094125723,0.031432836,2,1,6259,7717,3
2013,791,2013791,Viborg,0.101548762,0.168106224,0.066557463,-0.035660491,0.067443201,0,0,C,A,1,NA,NA,NA,NA,NA,NA,0,1,1,-0.006404914,0.070457831,-0.023337673,0.214356164,NA,NA,1672,4905,0
2013,810,2013810,Brønderslev,0.396448145,0.298459878,-0.097988267,-0.097988267,0.055282668,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,1,1,-0.029728914,0.265205479,-0.029728914,0.265205479,NA,NA,6846,8498,0
2013,813,2013813,Frederikshavn,0.307318166,0.314864359,0.007546194,-0.121000553,0.081319045,1,4,V,F,1,1,0.948387097,765.2,1,1,2011,2,1,1,0.023529944,0.273792208,-0.089704182,0.040746269,0,0,5667,8679,4
2013,820,2013820,Vesthimmerlands,0.334429005,0.342283776,0.007854771,0.007854771,0.042808186,1,3,C,C,0,1,0.925925926,1090,1,1,2010,1,1,1,-0.120615875,0.052325301,-0.120615875,0.052325301,1,1,4471,7803,4
2013,825,2013825,Læsø,0.26296018,0.249033256,-0.014,0.003618862,0.019037681,0,0,L,A,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,-0.020396307,0.245917808,NA,NA,8602,2948,0
2013,840,2013840,Rebild,0.328197227,0.27739388,-0.050803347,-0.050803347,0.068050193,1,1,V,V,0,1,0.56,663,1,1,2012,3,0,1,0.025423483,0.304580087,0.025423483,0.304580087,1,1,3924,5350,1
2013,846,2013846,Mariagerfjord,0.424669922,0.377278328,-0.047391594,0.04877101,0.045594798,1,6,A,V,1,1,0.729064039,1033,1,1,2010,1,0,1,-0.020231815,0.262575342,0.019648844,0.28808658,2,1,4247,6233,2
2013,849,2013849,Jammerbugt,0.394760657,0.456726309,0.061965652,-0.015039166,0.059676283,1,5,V,C,1,1,0.822222222,863.4,1,1,2013,4,0,1,0.033153067,0.294134199,-0.083832979,0.03626506,1,1,5228,8358,3
2013,851,2013851,Aalborg,0.361680196,0.363002139,0.001321943,-0.126662151,0.080988547,0,0,A,F,1,NA,NA,NA,NA,NA,NA,0,0,1,-0.035672431,0.27090411,-0.128263077,0.053552239,NA,NA,4656,7176,0
2013,860,2013860,Hjørring,0.251690749,0.390516669,0.13882592,-0.077,0.084060256,1,7,A,L,1,1,0.903225806,1091,1,1,2010,1,1,1,-0.024575179,0.244164384,NA,NA,4,1,6824,8401,4
2017,101,2017101,København,0.277576663,0.275864711,-0.001711953,-0.035266766,0.006720151,1,1,A,V,1,1,0.654545455,572,1,1,2016,3,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,-5008,-5252,2
2017,147,2017147,Frederiksberg,0.357444598,0.370923134,0.013478536,0.002115213,0.00869677,0,0,C,B,1,NA,NA,NA,NA,NA,NA,0,0,0,-0.012619277,0.0682,-0.055796905,0.113848485,NA,NA,-2550,-2238,0
2017,151,2017151,Ballerup,0.540258355,0.586111218,0.045852864,0.045852864,-0.007983118,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,1,0,0.054711384,0.355862069,0.054711384,0.355862069,NA,NA,1389,-155,0
2017,153,2017153,Brøndby,0.448830836,0.529046747,0.080215911,0.080215911,-0.025417306,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,1,0,0.064504015,0.362586207,0.064504015,0.362586207,NA,NA,-1062,-745,0
2017,155,2017155,Dragør,0.164963328,0.206116863,0.041153535,-0.007565088,-0.007737749,0,0,V,C,1,NA,NA,NA,NA,NA,NA,0,1,0,-0.061937396,0.233846154,-0.008297349,0.07304,NA,NA,-151,1969,0
2017,157,2017157,Gentofte,0.502192209,0.581399951,0.079207742,0.079207742,-0.007550091,0,0,C,C,0,NA,NA,NA,NA,NA,NA,0,0,0,0.005043855,0.13508,0.005043855,0.13508,NA,NA,-2387,-1745,0
2017,159,2017159,Gladsaxe,0.369203644,0.360305477,-0.008898167,0.009638599,-0.027255851,0,0,A,B,1,NA,NA,NA,NA,NA,NA,0,0,0,0.041948984,0.286551724,-0.034434558,0.075636364,NA,NA,-2104,-2980,0
2017,161,2017161,Glostrup,0.287173666,0.302934179,0.015760513,0.015760513,-0.019087308,0,0,V,V,0,NA,NA,NA,NA,NA,NA,0,0,0,-0.058762571,0.152354312,-0.058762571,0.152354312,NA,NA,-150,-485,0
2017,163,2017163,Herlev,0.586863106,0.571918961,-0.014944145,-0.014944145,-0.009087591,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,0.056290033,0.340344828,0.056290033,0.340344828,NA,NA,-1304,-4452,0
2017,165,2017165,Albertslund,0.396975836,0.419115529,0.022139693,0.022139693,-0.007951157,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,0.043569674,0.320172414,0.043569674,0.320172414,NA,NA,-65,-149,0
